"","subjectid","education","exposure","time","score","year","raw_score"
"4508",47084,"University degree","Family only","post",35,"2017",35
"4509",40196,"Honours & postgraduate","Educ, family and work","pre",45,"2017",45
"4510",40196,"Honours & postgraduate","Educ, family and work","post",44,"2017",44
"4511",16063,"Pre-tertiary qualification","Educ, family and work","pre",37,"2017",37
"4512",16063,"Pre-tertiary qualification","Educ, family and work","post",47,"2017",47
"4513",6835,"University degree","Educ and work","pre",31,"2017",31
"4514",6835,"University degree","Educ and work","post",43,"2017",43
"4515",11474,"Pre-tertiary qualification","Family and work","pre",17,"2017",17
"4516",11474,"Pre-tertiary qualification","Family and work","post",38,"2017",38
"4517",9985,"Honours & postgraduate","Work only","pre",46,"2017",46
"4518",9985,"Honours & postgraduate","Work only","post",50,"2017",50
"4519",75,"High school and below","Educ and family","pre",23,"2017",23
"4520",75,"High school and below","Educ and family","post",36,"2017",36
"4521",10336,"Honours & postgraduate","Educ and family","pre",32,"2017",32
"4522",10336,"Honours & postgraduate","Educ and family","post",41,"2017",41
"4523",37207,"University degree","Educ and family","pre",26,"2017",26
"4524",37207,"University degree","Educ and family","post",32,"2017",32
"4525",14127,"University degree","Educ and family","pre",25,"2017",25
"4526",14127,"University degree","Educ and family","post",40,"2017",40
"4527",43134,"Pre-tertiary qualification","Family only","pre",21,"2017",21
"4528",43134,"Pre-tertiary qualification","Family only","post",39,"2017",39
"4529",3656,"University degree","Educ and work","pre",32,"2017",32
"4530",3656,"University degree","Educ and work","post",44,"2017",44
"4531",14135,"Pre-tertiary qualification","Educ only","pre",40,"2017",40
"4532",14135,"Pre-tertiary qualification","Educ only","post",42,"2017",42
"4533",36712,"Pre-tertiary qualification","Educ and work","pre",36,"2017",36
"4534",36712,"Pre-tertiary qualification","Educ and work","post",45,"2017",45
"4535",10345,"Honours & postgraduate","Educ, family and work","pre",34,"2017",34
"4536",10345,"Honours & postgraduate","Educ, family and work","post",40,"2017",40
"4537",29695,"High school and below","Educ and family","pre",38,"2017",38
"4538",29695,"High school and below","Educ and family","post",48,"2017",48
"4539",856,"Honours & postgraduate","Educ and work","pre",31,"2017",31
"4540",856,"Honours & postgraduate","Educ and work","post",47,"2017",47
"4541",3074,"Pre-tertiary qualification","Educ only","pre",30,"2017",30
"4542",3074,"Pre-tertiary qualification","Educ only","post",42,"2017",42
"4543",7495,"University degree","Educ and family","pre",41,"2017",41
"4544",7495,"University degree","Educ and family","post",34,"2017",34
"4545",27453,"Pre-tertiary qualification","Educ only","pre",38,"2017",38
"4546",27453,"Pre-tertiary qualification","Educ only","post",42,"2017",42
"4547",5014,"University degree","Educ, family and work","pre",43,"2017",43
"4548",5014,"University degree","Educ, family and work","post",43,"2017",43
"4549",22485,"Honours & postgraduate","No exposure","pre",34,"2017",34
"4550",22485,"Honours & postgraduate","No exposure","post",39,"2017",39
"4551",48224,"University degree","Educ, family and work","pre",33,"2017",33
"4552",48224,"University degree","Educ, family and work","post",50,"2017",50
"4553",42905,"Honours & postgraduate","Work only","pre",38,"2017",38
"4554",42905,"Honours & postgraduate","Work only","post",48,"2017",48
"4555",9065,"University degree","Educ, family and work","pre",32,"2017",32
"4556",9065,"University degree","Educ, family and work","post",45,"2017",45
"4557",33643,"Honours & postgraduate","Educ and work","pre",40,"2017",40
"4558",33643,"Honours & postgraduate","Educ and work","post",46,"2017",46
"4559",40087,"Honours & postgraduate","Educ and work","pre",44,"2017",44
"4560",40087,"Honours & postgraduate","Educ and work","post",46,"2017",46
"4561",9305,"University degree","Educ, family and work","pre",35,"2017",35
"4562",9305,"University degree","Educ, family and work","post",46,"2017",46
"4563",22494,"University degree","Educ and work","pre",46,"2017",46
"4564",22494,"University degree","Educ and work","post",48,"2017",48
"4565",47346,"Pre-tertiary qualification","Educ and work","pre",40,"2017",40
"4566",47346,"Pre-tertiary qualification","Educ and work","post",40,"2017",40
"4567",31197,"Pre-tertiary qualification","Educ and work","pre",32,"2017",32
"4568",31197,"Pre-tertiary qualification","Educ and work","post",44,"2017",44
"4569",46225,"High school and below","Educ and work","pre",26,"2017",26
"4570",46225,"High school and below","Educ and work","post",33,"2017",33
"4571",30585,"Pre-tertiary qualification","Educ, family and work","pre",45,"2017",45
"4572",30585,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4573",37074,"University degree","Family and work","pre",29,"2017",29
"4574",37074,"University degree","Family and work","post",48,"2017",48
"4575",5645,"Pre-tertiary qualification","Educ and work","pre",39,"2017",39
"4576",5645,"Pre-tertiary qualification","Educ and work","post",44,"2017",44
"4577",15235,"High school and below","Family only","pre",45,"2017",45
"4578",15235,"High school and below","Family only","post",47,"2017",47
"4579",11974,"Honours & postgraduate","Educ, family and work","pre",48,"2017",48
"4580",11974,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4581",33376,"Honours & postgraduate","Educ and family","pre",39,"2017",39
"4582",33376,"Honours & postgraduate","Educ and family","post",47,"2017",47
"4583",31253,"High school and below","Educ and work","pre",40,"2017",40
"4584",31253,"High school and below","Educ and work","post",43,"2017",43
"4585",33575,"University degree","Educ and family","pre",24,"2017",24
"4586",33575,"University degree","Educ and family","post",48,"2017",48
"4587",3594,"Honours & postgraduate","Work only","pre",35,"2017",35
"4588",3594,"Honours & postgraduate","Work only","post",42,"2017",42
"4589",22666,"Honours & postgraduate","Family only","pre",13,"2017",13
"4590",22666,"Honours & postgraduate","Family only","post",41,"2017",41
"4591",47653,"Honours & postgraduate","Educ and work","pre",49,"2017",49
"4592",47653,"Honours & postgraduate","Educ and work","post",50,"2017",50
"4593",27705,"Honours & postgraduate","Educ, family and work","pre",38,"2017",38
"4594",27705,"Honours & postgraduate","Educ, family and work","post",50,"2017",50
"4595",12815,"Pre-tertiary qualification","Family and work","pre",16,"2017",16
"4596",12815,"Pre-tertiary qualification","Family and work","post",45,"2017",45
"4597",32955,"University degree","Educ and family","pre",48,"2017",48
"4598",32955,"University degree","Educ and family","post",48,"2017",48
"4599",17514,"Pre-tertiary qualification","Educ and work","pre",50,"2017",50
"4600",17514,"Pre-tertiary qualification","Educ and work","post",50,"2017",50
"4601",24195,"Pre-tertiary qualification","Educ and work","pre",38,"2017",38
"4602",24195,"Pre-tertiary qualification","Educ and work","post",48,"2017",48
"4603",24214,"University degree","Educ and family","pre",32,"2017",32
"4604",24214,"University degree","Educ and family","post",47,"2017",47
"4605",6726,"Honours & postgraduate","Educ and family","pre",24,"2017",24
"4606",6726,"Honours & postgraduate","Educ and family","post",48,"2017",48
"4607",36733,"Honours & postgraduate","Educ and work","pre",44,"2017",44
"4608",36733,"Honours & postgraduate","Educ and work","post",46,"2017",46
"4609",32516,"University degree","Educ only","pre",28,"2017",28
"4610",32516,"University degree","Educ only","post",44,"2017",44
"4611",46144,"High school and below","Educ and family","pre",33,"2017",33
"4612",46144,"High school and below","Educ and family","post",42,"2017",42
"4613",28296,"Honours & postgraduate","Educ and family","pre",32,"2017",32
"4614",28296,"Honours & postgraduate","Educ and family","post",50,"2017",50
"4615",13216,"Pre-tertiary qualification","No exposure","pre",25,"2017",25
"4616",13216,"Pre-tertiary qualification","No exposure","post",46,"2017",46
"4617",39584,"University degree","Educ, family and work","pre",50,"2017",50
"4618",39584,"University degree","Educ, family and work","post",48,"2017",48
"4619",31026,"High school and below","Work only","pre",16,"2017",16
"4620",31026,"High school and below","Work only","post",30,"2017",30
"4621",48696,"Pre-tertiary qualification","Educ only","pre",35,"2017",35
"4622",48696,"Pre-tertiary qualification","Educ only","post",48,"2017",48
"4623",42876,"Pre-tertiary qualification","Educ, family and work","pre",42,"2017",42
"4624",42876,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4625",13534,"University degree","Family only","pre",28,"2017",28
"4626",13534,"University degree","Family only","post",47,"2017",47
"4627",48427,"University degree","Educ and work","pre",48,"2017",48
"4628",48427,"University degree","Educ and work","post",50,"2017",50
"4629",35415,"Honours & postgraduate","Educ only","pre",32,"2017",32
"4630",35415,"Honours & postgraduate","Educ only","post",37,"2017",37
"4631",18425,"Pre-tertiary qualification","Educ, family and work","pre",41,"2017",41
"4632",18425,"Pre-tertiary qualification","Educ, family and work","post",44,"2017",44
"4633",22194,"High school and below","Educ and work","pre",38,"2017",38
"4634",22194,"High school and below","Educ and work","post",48,"2017",48
"4635",36535,"High school and below","Family only","pre",37,"2017",37
"4636",36535,"High school and below","Family only","post",46,"2017",46
"4637",39205,"University degree","Educ, family and work","pre",42,"2017",42
"4638",39205,"University degree","Educ, family and work","post",46,"2017",46
"4639",47736,"Honours & postgraduate","Educ and family","pre",20,"2017",20
"4640",47736,"Honours & postgraduate","Educ and family","post",44,"2017",44
"4641",38265,"High school and below","Educ, family and work","pre",50,"2017",50
"4642",38265,"High school and below","Educ, family and work","post",50,"2017",50
"4643",11136,"Pre-tertiary qualification","Educ and work","pre",21,"2017",21
"4644",11136,"Pre-tertiary qualification","Educ and work","post",26,"2017",26
"4645",43454,"University degree","Educ only","pre",44,"2017",44
"4646",43454,"University degree","Educ only","post",50,"2017",50
"4647",5745,"Pre-tertiary qualification","Family and work","pre",20,"2017",20
"4648",5745,"Pre-tertiary qualification","Family and work","post",48,"2017",48
"4649",44255,"University degree","Educ and family","pre",41,"2017",41
"4650",44255,"University degree","Educ and family","post",50,"2017",50
"4651",16045,"Pre-tertiary qualification","Educ and work","pre",31,"2017",31
"4652",16045,"Pre-tertiary qualification","Educ and work","post",48,"2017",48
"4653",27094,"Pre-tertiary qualification","Educ, family and work","pre",2,"2017",2
"4654",27094,"Pre-tertiary qualification","Educ, family and work","post",16,"2017",16
"4655",39394,"Pre-tertiary qualification","Educ, family and work","pre",37,"2017",37
"4656",39394,"Pre-tertiary qualification","Educ, family and work","post",44,"2017",44
"4657",22396,"Pre-tertiary qualification","Educ, family and work","pre",26,"2017",26
"4658",22396,"Pre-tertiary qualification","Educ, family and work","post",23,"2017",23
"4659",13805,"Pre-tertiary qualification","Educ and family","pre",50,"2017",50
"4660",13805,"Pre-tertiary qualification","Educ and family","post",50,"2017",50
"4661",20635,"University degree","Educ, family and work","pre",41,"2017",41
"4662",20635,"University degree","Educ, family and work","post",40,"2017",40
"4663",15136,"Pre-tertiary qualification","Family and work","pre",39,"2017",39
"4664",15136,"Pre-tertiary qualification","Family and work","post",40,"2017",40
"4665",26065,"University degree","Educ, family and work","pre",42,"2017",42
"4666",26065,"University degree","Educ, family and work","post",48,"2017",48
"4667",11014,"Pre-tertiary qualification","Educ, family and work","pre",44,"2017",44
"4668",11014,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4669",39144,"University degree","Educ, family and work","pre",44,"2017",44
"4670",39144,"University degree","Educ, family and work","post",47,"2017",47
"4671",42516,"Pre-tertiary qualification","Educ and work","pre",44,"2017",44
"4672",42516,"Pre-tertiary qualification","Educ and work","post",48,"2017",48
"4673",42195,"Honours & postgraduate","Educ and family","pre",44,"2017",44
"4674",42195,"Honours & postgraduate","Educ and family","post",46,"2017",46
"4675",45685,"Pre-tertiary qualification","Family only","pre",26,"2017",26
"4676",45685,"Pre-tertiary qualification","Family only","post",38,"2017",38
"4677",45155,"University degree","Educ and work","pre",14,"2017",14
"4678",45155,"University degree","Educ and work","post",42,"2017",42
"4679",42984,"Pre-tertiary qualification","Educ and family","pre",32,"2017",32
"4680",42984,"Pre-tertiary qualification","Educ and family","post",46,"2017",46
"4681",21265,"High school and below","Family only","pre",30,"2017",30
"4682",21265,"High school and below","Family only","post",43,"2017",43
"4683",29466,"University degree","Educ and work","pre",31,"2017",31
"4684",29466,"University degree","Educ and work","post",46,"2017",46
"4685",29044,"Pre-tertiary qualification","Educ and work","pre",23,"2017",23
"4686",29044,"Pre-tertiary qualification","Educ and work","post",29,"2017",29
"4687",4164,"Honours & postgraduate","Educ and work","pre",32,"2017",32
"4688",4164,"Honours & postgraduate","Educ and work","post",44,"2017",44
"4689",18414,"High school and below","Educ, family and work","pre",33,"2017",33
"4690",18414,"High school and below","Educ, family and work","post",38,"2017",38
"4691",20535,"Honours & postgraduate","Educ only","pre",26,"2017",26
"4692",20535,"Honours & postgraduate","Educ only","post",47,"2017",47
"4693",4915,"Pre-tertiary qualification","Educ, family and work","pre",45,"2017",45
"4694",4915,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4695",7474,"High school and below","Educ, family and work","pre",36,"2017",36
"4696",7474,"High school and below","Educ, family and work","post",36,"2017",36
"4697",45824,"Pre-tertiary qualification","Educ, family and work","pre",32,"2017",32
"4698",45824,"Pre-tertiary qualification","Educ, family and work","post",41,"2017",41
"4699",26387,"Pre-tertiary qualification","Educ, family and work","pre",40,"2017",40
"4700",26387,"Pre-tertiary qualification","Educ, family and work","post",38,"2017",38
"4701",34994,"Pre-tertiary qualification","Educ, family and work","pre",42,"2017",42
"4702",34994,"Pre-tertiary qualification","Educ, family and work","post",48,"2017",48
"4703",7615,"High school and below","Educ only","pre",25,"2017",25
"4704",7615,"High school and below","Educ only","post",30,"2017",30
"4705",15194,"University degree","Educ, family and work","pre",46,"2017",46
"4706",15194,"University degree","Educ, family and work","post",50,"2017",50
"4707",35616,"High school and below","Educ, family and work","pre",35,"2017",35
"4708",35616,"High school and below","Educ, family and work","post",40,"2017",40
"4709",37245,"Pre-tertiary qualification","Educ, family and work","pre",46,"2017",46
"4710",37245,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4711",28675,"Pre-tertiary qualification","Educ, family and work","pre",43,"2017",43
"4712",28675,"Pre-tertiary qualification","Educ, family and work","post",48,"2017",48
"4713",21845,"University degree","Educ, family and work","pre",34,"2017",34
"4714",21845,"University degree","Educ, family and work","post",46,"2017",46
"4715",23605,"Honours & postgraduate","Educ and work","pre",23,"2017",23
"4716",23605,"Honours & postgraduate","Educ and work","post",42,"2017",42
"4717",5865,"University degree","Educ, family and work","pre",47,"2017",47
"4718",5865,"University degree","Educ, family and work","post",47,"2017",47
"4719",46805,"Honours & postgraduate","Educ and work","pre",44,"2017",44
"4720",46805,"Honours & postgraduate","Educ and work","post",46,"2017",46
"4721",15665,"High school and below","Family and work","pre",44,"2017",44
"4722",15665,"High school and below","Family and work","post",47,"2017",47
"4723",6145,"High school and below","Educ and family","pre",30,"2017",30
"4724",6145,"High school and below","Educ and family","post",44,"2017",44
"4725",9435,"Pre-tertiary qualification","Educ and work","pre",50,"2017",50
"4726",9435,"Pre-tertiary qualification","Educ and work","post",50,"2017",50
"4727",7015,"Honours & postgraduate","Family only","pre",32,"2017",32
"4728",7015,"Honours & postgraduate","Family only","post",48,"2017",48
"4729",16084,"Pre-tertiary qualification","Work only","pre",39,"2017",39
"4730",16084,"Pre-tertiary qualification","Work only","post",48,"2017",48
"4731",4834,"Pre-tertiary qualification","Educ, family and work","pre",45,"2017",45
"4732",4834,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4733",39886,"Honours & postgraduate","Family only","pre",30,"2017",30
"4734",39886,"Honours & postgraduate","Family only","post",36,"2017",36
"4735",4122,"University degree","Family only","pre",16,"2017",16
"4736",4122,"University degree","Family only","post",30,"2017",30
"4737",45614,"Pre-tertiary qualification","Educ and work","pre",43,"2017",43
"4738",45614,"Pre-tertiary qualification","Educ and work","post",46,"2017",46
"4739",12185,"University degree","Educ, family and work","pre",27,"2017",27
"4740",12185,"University degree","Educ, family and work","post",44,"2017",44
"4741",37035,"Honours & postgraduate","No exposure","pre",43,"2017",43
"4742",37035,"Honours & postgraduate","No exposure","post",50,"2017",50
"4743",36684,"Pre-tertiary qualification","Educ and work","pre",38,"2017",38
"4744",36684,"Pre-tertiary qualification","Educ and work","post",48,"2017",48
"4745",37466,"Pre-tertiary qualification","Educ, family and work","pre",44,"2017",44
"4746",37466,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4747",7096,"Honours & postgraduate","Educ, family and work","pre",42,"2017",42
"4748",7096,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4749",3225,"University degree","Educ, family and work","pre",35,"2017",35
"4750",3225,"University degree","Educ, family and work","post",45,"2017",45
"4751",11316,"University degree","Educ, family and work","pre",35,"2017",35
"4752",11316,"University degree","Educ, family and work","post",44,"2017",44
"4753",12695,"Pre-tertiary qualification","Educ and family","pre",38,"2017",38
"4754",12695,"Pre-tertiary qualification","Educ and family","post",42,"2017",42
"4755",25216,"Pre-tertiary qualification","Educ, family and work","pre",49,"2017",49
"4756",25216,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4757",6135,"Pre-tertiary qualification","Educ and work","pre",37,"2017",37
"4758",6135,"Pre-tertiary qualification","Educ and work","post",41,"2017",41
"4759",29416,"University degree","Educ, family and work","pre",48,"2017",48
"4760",29416,"University degree","Educ, family and work","post",50,"2017",50
"4761",21747,"Honours & postgraduate","Educ, family and work","pre",46,"2017",46
"4762",21747,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4763",1305,"Pre-tertiary qualification","Educ, family and work","pre",36,"2017",36
"4764",1305,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4765",945,"High school and below","Educ, family and work","pre",25,"2017",25
"4766",945,"High school and below","Educ, family and work","post",39,"2017",39
"4767",46755,"Pre-tertiary qualification","Educ and work","pre",34,"2017",34
"4768",46755,"Pre-tertiary qualification","Educ and work","post",48,"2017",48
"4769",46194,"Pre-tertiary qualification","Educ, family and work","pre",40,"2017",40
"4770",46194,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4771",45973,"University degree","Educ and work","pre",38,"2017",38
"4772",45973,"University degree","Educ and work","post",37,"2017",37
"4773",38534,"Pre-tertiary qualification","Educ and work","pre",44,"2017",44
"4774",38534,"Pre-tertiary qualification","Educ and work","post",50,"2017",50
"4775",23886,"University degree","Educ, family and work","pre",46,"2017",46
"4776",23886,"University degree","Educ, family and work","post",48,"2017",48
"4777",12266,"University degree","Educ, family and work","pre",42,"2017",42
"4778",12266,"University degree","Educ, family and work","post",47,"2017",47
"4779",35224,"University degree","Educ, family and work","pre",49,"2017",49
"4780",35224,"University degree","Educ, family and work","post",50,"2017",50
"4781",18987,"Pre-tertiary qualification","Educ and work","pre",37,"2017",37
"4782",18987,"Pre-tertiary qualification","Educ and work","post",36,"2017",36
"4783",6485,"Pre-tertiary qualification","Family and work","pre",21,"2017",21
"4784",6485,"Pre-tertiary qualification","Family and work","post",46,"2017",46
"4785",45466,"High school and below","Work only","pre",39,"2017",39
"4786",45466,"High school and below","Work only","post",32,"2017",32
"4787",18505,"Pre-tertiary qualification","Educ and family","pre",40,"2017",40
"4788",18505,"Pre-tertiary qualification","Educ and family","post",50,"2017",50
"4789",9955,"High school and below","No exposure","pre",30,"2017",30
"4790",9955,"High school and below","No exposure","post",22,"2017",22
"4791",23944,"Pre-tertiary qualification","Family and work","pre",27,"2017",27
"4792",23944,"Pre-tertiary qualification","Family and work","post",48,"2017",48
"4793",6995,"University degree","Educ, family and work","pre",39,"2017",39
"4794",6995,"University degree","Educ, family and work","post",50,"2017",50
"4795",25255,"University degree","Educ and family","pre",11,"2017",11
"4796",25255,"University degree","Educ and family","post",41,"2017",41
"4797",36655,"Pre-tertiary qualification","Educ, family and work","pre",44,"2017",44
"4798",36655,"Pre-tertiary qualification","Educ, family and work","post",48,"2017",48
"4799",24352,"Pre-tertiary qualification","Work only","pre",23,"2017",23
"4800",24352,"Pre-tertiary qualification","Work only","post",43,"2017",43
"4801",47315,"Pre-tertiary qualification","Educ, family and work","pre",38,"2017",38
"4802",47315,"Pre-tertiary qualification","Educ, family and work","post",45,"2017",45
"4803",40314,"Honours & postgraduate","Educ and family","pre",37,"2017",37
"4804",40314,"Honours & postgraduate","Educ and family","post",49,"2017",49
"4805",15047,"Honours & postgraduate","Educ and family","pre",30,"2017",30
"4806",15047,"Honours & postgraduate","Educ and family","post",38,"2017",38
"4807",11026,"Pre-tertiary qualification","Educ, family and work","pre",44,"2017",44
"4808",11026,"Pre-tertiary qualification","Educ, family and work","post",46,"2017",46
"4809",18725,"Honours & postgraduate","No exposure","pre",38,"2017",38
"4810",18725,"Honours & postgraduate","No exposure","post",41,"2017",41
"4811",24714,"Pre-tertiary qualification","Educ, family and work","pre",32,"2017",32
"4812",24714,"Pre-tertiary qualification","Educ, family and work","post",47,"2017",47
"4813",21474,"High school and below","Educ, family and work","pre",34,"2017",34
"4814",21474,"High school and below","Educ, family and work","post",40,"2017",40
"4815",38855,"Pre-tertiary qualification","No exposure","pre",18,"2017",18
"4816",38855,"Pre-tertiary qualification","No exposure","post",36,"2017",36
"4817",45655,"High school and below","Work only","pre",38,"2017",38
"4818",45655,"High school and below","Work only","post",38,"2017",38
"4819",33496,"Pre-tertiary qualification","Educ, family and work","pre",44,"2017",44
"4820",33496,"Pre-tertiary qualification","Educ, family and work","post",48,"2017",48
"4821",2295,"Pre-tertiary qualification","Educ only","pre",42,"2017",42
"4822",2295,"Pre-tertiary qualification","Educ only","post",44,"2017",44
"4823",13255,"Pre-tertiary qualification","Educ and family","pre",34,"2017",34
"4824",13255,"Pre-tertiary qualification","Educ and family","post",45,"2017",45
"4825",16732,"Honours & postgraduate","Educ and family","pre",40,"2017",40
"4826",16732,"Honours & postgraduate","Educ and family","post",46,"2017",46
"4827",35055,"Honours & postgraduate","Family only","pre",30,"2017",30
"4828",35055,"Honours & postgraduate","Family only","post",39,"2017",39
"4829",23344,"University degree","Educ, family and work","pre",32,"2017",32
"4830",23344,"University degree","Educ, family and work","post",37,"2017",37
"4831",36446,"Honours & postgraduate","Educ and family","pre",25,"2017",25
"4832",36446,"Honours & postgraduate","Educ and family","post",46,"2017",46
"4833",30744,"University degree","Educ and family","pre",34,"2017",34
"4834",30744,"University degree","Educ and family","post",46,"2017",46
"4835",42925,"Pre-tertiary qualification","Educ, family and work","pre",33,"2017",33
"4836",42925,"Pre-tertiary qualification","Educ, family and work","post",50,"2017",50
"4837",14954,"Honours & postgraduate","Educ only","pre",38,"2017",38
"4838",14954,"Honours & postgraduate","Educ only","post",50,"2017",50
"4839",29886,"Honours & postgraduate","Educ, family and work","pre",34,"2017",34
"4840",29886,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4841",47304,"Pre-tertiary qualification","Educ, family and work","pre",28,"2017",28
"4842",47304,"Pre-tertiary qualification","Educ, family and work","post",43,"2017",43
"4843",27955,"Honours & postgraduate","Family only","pre",27,"2017",27
"4844",27955,"Honours & postgraduate","Family only","post",41,"2017",41
"4845",6256,"Honours & postgraduate","Educ and family","pre",41,"2017",41
"4846",6256,"Honours & postgraduate","Educ and family","post",50,"2017",50
"4847",27515,"Honours & postgraduate","Educ, family and work","pre",41,"2017",41
"4848",27515,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4849",19765,"University degree","Educ and family","pre",47,"2017",47
"4850",19765,"University degree","Educ and family","post",50,"2017",50
"4851",17293,"University degree","Work only","pre",27,"2017",27
"4852",17293,"University degree","Work only","post",43,"2017",43
"4853",36265,"University degree","Educ, family and work","pre",48,"2017",48
"4854",36265,"University degree","Educ, family and work","post",48,"2017",48
"4855",36855,"Honours & postgraduate","Educ, family and work","pre",36,"2017",36
"4856",36855,"Honours & postgraduate","Educ, family and work","post",47,"2017",47
"4857",36324,"University degree","Educ, family and work","pre",47,"2017",47
"4858",36324,"University degree","Educ, family and work","post",50,"2017",50
"4859",24904,"Honours & postgraduate","Educ and family","pre",25,"2017",25
"4860",24904,"Honours & postgraduate","Educ and family","post",40,"2017",40
"4861",24475,"Pre-tertiary qualification","Educ and family","pre",25,"2017",25
"4862",24475,"Pre-tertiary qualification","Educ and family","post",43,"2017",43
"4863",30876,"Pre-tertiary qualification","Family and work","pre",35,"2017",35
"4864",30876,"Pre-tertiary qualification","Family and work","post",44,"2017",44
"4865",36285,"Pre-tertiary qualification","Educ and family","pre",13,"2017",13
"4866",36285,"Pre-tertiary qualification","Educ and family","post",44,"2017",44
"4867",20146,"Pre-tertiary qualification","Family only","pre",25,"2017",25
"4868",20146,"Pre-tertiary qualification","Family only","post",43,"2017",43
"4869",40573,"Honours & postgraduate","Educ and family","pre",43,"2017",43
"4870",40573,"Honours & postgraduate","Educ and family","post",50,"2017",50
"4871",11396,"Pre-tertiary qualification","Educ and family","pre",16,"2017",16
"4872",11396,"Pre-tertiary qualification","Educ and family","post",47,"2017",47
"4873",42684,"Honours & postgraduate","Educ and family","pre",32,"2017",32
"4874",42684,"Honours & postgraduate","Educ and family","post",44,"2017",44
"4875",27545,"Honours & postgraduate","Educ and work","pre",42,"2017",42
"4876",27545,"Honours & postgraduate","Educ and work","post",43,"2017",43
"4877",35354,"University degree","Educ and family","pre",35,"2017",35
"4878",35354,"University degree","Educ and family","post",40,"2017",40
"4879",22905,"Honours & postgraduate","Educ and work","pre",43,"2017",43
"4880",22905,"Honours & postgraduate","Educ and work","post",48,"2017",48
"4881",23014,"Pre-tertiary qualification","Educ and family","pre",20,"2017",20
"4882",23014,"Pre-tertiary qualification","Educ and family","post",48,"2017",48
"4883",30676,"Pre-tertiary qualification","Family and work","pre",40,"2017",40
"4884",30676,"Pre-tertiary qualification","Family and work","post",46,"2017",46
"4885",31344,"University degree","Educ only","pre",38,"2017",38
"4886",31344,"University degree","Educ only","post",46,"2017",46
"4887",16456,"Pre-tertiary qualification","Educ and work","pre",37,"2017",37
"4888",16456,"Pre-tertiary qualification","Educ and work","post",42,"2017",42
"4889",35525,"Pre-tertiary qualification","Educ and family","pre",42,"2017",42
"4890",35525,"Pre-tertiary qualification","Educ and family","post",49,"2017",49
"4891",39574,"Honours & postgraduate","Educ only","pre",23,"2017",23
"4892",39574,"Honours & postgraduate","Educ only","post",41,"2017",41
"4893",8206,"University degree","Educ and family","pre",42,"2017",42
"4894",8206,"University degree","Educ and family","post",48,"2017",48
"4895",26855,"High school and below","Educ, family and work","pre",41,"2017",41
"4896",26855,"High school and below","Educ, family and work","post",49,"2017",49
"4897",25796,"University degree","Educ, family and work","pre",44,"2017",44
"4898",25796,"University degree","Educ, family and work","post",46,"2017",46
"4899",4666,"University degree","Educ only","pre",38,"2017",38
"4900",4666,"University degree","Educ only","post",46,"2017",46
"4901",21674,"University degree","Family only","pre",37,"2017",37
"4902",21674,"University degree","Family only","post",46,"2017",46
"4903",31436,"Honours & postgraduate","Educ, family and work","pre",50,"2017",50
"4904",31436,"Honours & postgraduate","Educ, family and work","post",48,"2017",48
"4905",10506,"Pre-tertiary qualification","No exposure","pre",30,"2017",30
"4906",10506,"Pre-tertiary qualification","No exposure","post",44,"2017",44
"4907",6235,"Honours & postgraduate","Educ and family","pre",41,"2017",41
"4908",6235,"Honours & postgraduate","Educ and family","post",50,"2017",50
"4909",11535,"Pre-tertiary qualification","Educ, family and work","pre",41,"2017",41
"4910",11535,"Pre-tertiary qualification","Educ, family and work","post",48,"2017",48
"4911",1865,"Honours & postgraduate","Educ and family","pre",42,"2017",42
"4912",1865,"Honours & postgraduate","Educ and family","post",48,"2017",48
"4913",8075,"University degree","Educ, family and work","pre",29,"2017",29
"4914",8075,"University degree","Educ, family and work","post",48,"2017",48
"4915",23866,"Pre-tertiary qualification","Educ and family","pre",23,"2017",23
"4916",23866,"Pre-tertiary qualification","Educ and family","post",33,"2017",33
"4917",39655,"University degree","Educ and work","pre",37,"2017",37
"4918",39655,"University degree","Educ and work","post",46,"2017",46
"4919",27255,"Pre-tertiary qualification","Educ only","pre",25,"2017",25
"4920",27255,"Pre-tertiary qualification","Educ only","post",41,"2017",41
"4921",23546,"Pre-tertiary qualification","Educ, family and work","pre",39,"2017",39
"4922",23546,"Pre-tertiary qualification","Educ, family and work","post",44,"2017",44
"4923",1995,"High school and below","Educ, family and work","pre",44,"2017",44
"4924",1995,"High school and below","Educ, family and work","post",46,"2017",46
"4925",4794,"Pre-tertiary qualification","Educ and work","pre",41,"2017",41
